DrugBank_ID,Drug_Name,Gene
DB02383,Tolrestat,SIGMAR1
DB02383,Tolrestat,AKR1A1
DB02383,Tolrestat,AKR1B10
DB02384,(E)-2-Fluoro-P-Hydroxycinnamate,pptA
DB02386,Leucine Phosphonic Acid,
DB02386,Leucine Phosphonic Acid,LAP3
DB02388,"Cyclohexyl-{4-[5-(3,4-Dichlorophenyl)-2-Piperidin-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine",MAPK10
DB02391,"2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One",PNP
DB02393,"D-Gluco-2,5-Anhydro-1-Deoxy-1-Phosphonohexitol-6-Phosphate",PFKFB1
DB02394,Oxiranpseudoglucose,
DB02395,"3-Hydroxymethyl-5-Aziridinyl-1methyl-2-[1h-Indole-4,7-Dione]-Propanol",NQO1
DB02396,Methylethylamine,MB
DB02398,6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine,PLAU
DB02399,L-Rhamnitol,rhaA
DB02400,ES-936,NQO1
DB02401,"4-Hydroxy-1,2,5-oxadiazole-3-carboxylic acid",
DB02401,"4-Hydroxy-1,2,5-oxadiazole-3-carboxylic acid",LDHB
DB02402,"5-(4-Methoxyphenoxy)-2,4-Quinazolinediamine",PDF
DB02402,"5-(4-Methoxyphenoxy)-2,4-Quinazolinediamine",DHFR2
DB02402,"5-(4-Methoxyphenoxy)-2,4-Quinazolinediamine",DFR1
DB02403,2-Fluoroaniline,E
DB02404,1-Deoxy-1-Thio-Heptaethylene Glycol,ACHE
DB02405,12-Bromododecanoic Acid,PAEP
DB02406,N-Valeric Acid,FFAR2
DB02406,N-Valeric Acid,cumD
DB02407,6-O-Cyclohexylmethyl Guanine,CDK2
DB02407,6-O-Cyclohexylmethyl Guanine,CCNA2
DB02408,"(3s)-3-Amino-1-(Cyclopropylamino)Heptane-2,2-Diol",map
DB02408,"(3s)-3-Amino-1-(Cyclopropylamino)Heptane-2,2-Diol",map
DB02410,"2-Acetyl-3-[(4-Amino-2-Methyl-5-Pyrimidinyl)Methyl]-4-Methyl-5-(4,6,6-Trihydroxy-3,5-Dioxa-4,6-Diphosphahex-1-Yl)Thiazolium Inner Salt P,P'-Dioxide",por
DB02411,"2-(11-{2-[Benzenesulfonyl-(3-Methyl-Butyl)-Amino]-1-Hydroxy-Ethyl}-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-8-Yl)-Acetamide, Inhibitor 2",gag-pol
DB02413,Hydroxyethylcysteine,gag-pol
DB02414,Cyclo(his-pro),chiB
DB02415,N-Octyl-2-Hydroxyethyl Sulfoxide,cirA
DB02415,N-Octyl-2-Hydroxyethyl Sulfoxide,ompC
DB02415,N-Octyl-2-Hydroxyethyl Sulfoxide,fhuA
DB02418,"(R,R)-2,3-Butanediol",UBE2D2
DB02419,Ethyl Oxo(Piperidin-1-Yl)Acetate,PPIA
DB02420,"[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,",PTPN1
DB02421,Uridine-5'-diphosphate-mannose,galE
DB02422,Methyl-2-S-(Alpha-D-Mannopyranosyl)-2-Thio-Alpha-D-Mannopyranoside,MAN1B1
DB02424,Geldanamycin,HSP90AA1
