Gene1,Gene2,Score
H2AC13,H2BC9,3.98612765071408
H2AC13,H2BC21,3.98612765071408
H2AC18,H2BC7,3.98612765071408
H2AC13,H2BC8,3.98612765071408
H2AC13,H2BC7,3.98612765071408
H2AC13,H2BC6,3.98612765071408
H2AC17,H2BC17,3.98612765071408
H2AC15,H2BC8,3.98612765071408
H2AC17,H2BC4,3.98612765071408
H2AC4,H2BC6,3.98612765071408
NPLOC4,UFD1,3.98604305957532
RPL26,RPLP2,3.98593984905069
H4C16,H2BC17,3.98539902666703
H2BC17,H4C11,3.98539902666703
H2BC17,H4C13,3.98539902666703
H4C9,H2BC17,3.98539902666703
H2BC17,H4C5,3.98539902666703
H2BC17,H4C2,3.98539902666703
H2BC17,H4C8,3.98539902666703
H2BC17,H4C3,3.98539902666703
H2BC17,H4C14,3.98539902666703
H2BC17,H4C12,3.98539902666703
H2BC17,H4C6,3.98539902666703
H2BC17,H4C4,3.98539902666703
H2BC17,H4C1,3.98539902666703
HYOU1,DNAJB9,3.98530724935034
RPL9,RPS4X,3.98434996933532
H2BC15,H4C12,3.98413810062681
H2BC15,H4C13,3.98413810062681
H2BC15,H4C5,3.98413810062681
H2BC15,H4C2,3.98413810062681
H2BC15,H4C8,3.98413810062681
H2BC15,H4C3,3.98413810062681
H2BC15,H4C11,3.98413810062681
H2BC15,H4C4,3.98413810062681
H2BC15,H4C6,3.98413810062681
H4C16,H2BC15,3.98413810062681
H2BC15,H4C1,3.98413810062681
H4C9,H2BC12,3.98413810062681
H2BC15,H4C14,3.98413810062681
H4C16,H2BC12,3.98413810062681
H4C9,H2BC15,3.98413810062681
H4C3,H2BC12,3.98413810062681
H4C1,H2BC12,3.98413810062681
H4C6,H2BC12,3.98413810062681
H4C12,H2BC12,3.98413810062681
H4C8,H2BC12,3.98413810062681
H4C14,H2BC12,3.98413810062681
H4C2,H2BC12,3.98413810062681
H4C5,H2BC12,3.98413810062681
H4C4,H2BC12,3.98413810062681
H4C13,H2BC12,3.98413810062681
H2BC3,H2AC25,3.98326500768363
RPL11,MRPL14,3.98296189440467
H4C9,H2BC11,3.98277434798968
H4C8,H2BC11,3.98277434798968
H4C12,H2BC11,3.98277434798968
H4C16,H2BC11,3.98277434798968
H4C6,H2BC11,3.98277434798968
H4C3,H2BC11,3.98277434798968
H4C11,H2BC11,3.98277434798968
H4C5,H2BC11,3.98277434798968
H4C2,H2BC11,3.98277434798968
H4C4,H2BC11,3.98277434798968
H4C13,H2BC11,3.98277434798968
H4C1,H2BC11,3.98277434798968
H4C14,H2BC11,3.98277434798968
H2AC15,H2BC15,3.98275982838959
H2AC16,H2BC12,3.98275982838959
H2AC8,H2BC15,3.98275982838959
H2AC8,H2BC12,3.98275982838959
H2AC8,H2BC11,3.98275982838959
H2AC13,H2BC15,3.98275982838959
H2AC13,H2BC12,3.98275982838959
H2AC13,H2BC11,3.98275982838959
H2AC15,H2BC11,3.98275982838959
H2AC16,H2BC15,3.98275982838959
